unknown,unknown,2020-12-18 02:40:34.030663
unknown,unknown,2020-12-18 02:40:35.909930
unknown,unknown,2020-12-18 02:40:37.868006
unknown,unknown,2020-12-18 02:40:39.646231
unknown,unknown,2020-12-18 02:40:41.577447
unknown,unknown,2020-12-18 02:40:43.582505
unknown,unknown,2020-12-18 02:40:45.462365
unknown,unknown,2020-12-18 02:40:47.343700
unknown,unknown,2020-12-18 02:40:49.108188
unknown,unknown,2020-12-18 02:40:50.878918
unknown,unknown,2020-12-18 02:40:52.697730
unknown,unknown,2020-12-18 02:40:54.593175
unknown,unknown,2020-12-18 02:40:57.504271
unknown,unknown,2020-12-18 02:41:00.033356
unknown,unknown,2020-12-18 02:41:01.865954
unknown,unknown,2020-12-18 02:41:03.666851
unknown,unknown,2020-12-18 02:41:05.471826
unknown,unknown,2020-12-18 02:41:07.420455
unknown,unknown,2020-12-18 02:41:09.290954
unknown,unknown,2020-12-18 02:41:11.387933
unknown,unknown,2020-12-18 02:41:13.593845
unknown,unknown,2020-12-18 02:41:15.399478
unknown,unknown,2020-12-18 02:41:17.250847
unknown,unknown,2020-12-18 02:41:19.141931
unknown,unknown,2020-12-18 02:41:21.693015
john851411,unknown,2020-12-18 02:41:23.776806
unknown,unknown,2020-12-18 02:41:25.589712
unknown,unknown,2020-12-18 02:41:27.693068
unknown,unknown,2020-12-18 02:45:02.329593
unknown,unknown,2020-12-18 02:45:04.241926
unknown,unknown,2020-12-18 02:45:06.258432
unknown,unknown,2020-12-18 02:45:08.145528
unknown,unknown,2020-12-18 02:45:10.314928
unknown,unknown,2020-12-18 02:45:12.889516
unknown,unknown,2020-12-18 02:45:14.793326
unknown,unknown,2020-12-18 02:45:16.710938
unknown,unknown,2020-12-18 02:45:18.621659
unknown,unknown,2020-12-18 02:45:20.509290
unknown,unknown,2020-12-18 02:45:22.408464
unknown,unknown,2020-12-18 02:45:24.301019
unknown,unknown,2020-12-18 02:45:26.196758
unknown,unknown,2020-12-18 02:45:28.078494
unknown,unknown,2020-12-18 02:45:30.200285
unknown,unknown,2020-12-18 02:45:32.293923
unknown,unknown,2020-12-18 02:45:34.287652
unknown,unknown,2020-12-18 02:50:11.370470
unknown,unknown,2020-12-18 02:50:16.259349
unknown,unknown,2020-12-18 02:50:18.161360
unknown,unknown,2020-12-18 02:50:21.424906
unknown,unknown,2020-12-18 02:50:25.258835
unknown,unknown,2020-12-18 02:50:27.113101
unknown,unknown,2020-12-18 02:51:25.391569
unknown,unknown,2020-12-18 02:51:27.317018
unknown,unknown,2020-12-18 02:51:29.216056
unknown,unknown,2020-12-18 02:51:31.103531
unknown,unknown,2020-12-18 02:51:33.002920
unknown,unknown,2020-12-18 02:51:34.893007
unknown,unknown,2020-12-18 02:51:36.788625
unknown,unknown,2020-12-18 02:51:38.666247
unknown,unknown,2020-12-18 02:51:40.504201
unknown,unknown,2020-12-18 02:51:42.375211
unknown,unknown,2020-12-18 02:51:44.218936
unknown,unknown,2020-12-18 02:51:46.117644
unknown,unknown,2020-12-18 02:51:47.980428
unknown,unknown,2020-12-18 02:51:50.249492
unknown,unknown,2020-12-18 02:51:52.286030
unknown,unknown,2020-12-18 02:51:54.179975
unknown,unknown,2020-12-18 02:51:56.033304
unknown,unknown,2020-12-18 02:51:57.931553
unknown,unknown,2020-12-18 02:51:59.926735
unknown,unknown,2020-12-18 02:52:01.823031
unknown,unknown,2020-12-18 02:52:06.718602
unknown,unknown,2020-12-18 02:52:08.608380
unknown,unknown,2020-12-18 02:52:10.512833
unknown,unknown,2020-12-18 02:52:12.390514
unknown,unknown,2020-12-18 02:52:15.356091
unknown,unknown,2020-12-18 02:52:17.256873
unknown,unknown,2020-12-18 03:12:33.066849
john851411,unknown,2020-12-18 03:12:34.969469
john851411,unknown,2020-12-18 03:12:36.830913
unknown,unknown,2020-12-18 03:12:38.841460
john851411,unknown,2020-12-18 03:12:41.232701
unknown,unknown,2020-12-18 03:12:43.356135
john851411,unknown,2020-12-18 03:12:45.491134
unknown,unknown,2020-12-18 03:12:47.284883
john851411,unknown,2020-12-18 03:12:49.031386
unknown,unknown,2020-12-18 03:12:51.148720
john851411,unknown,2020-12-18 03:12:53.309383
john851411,unknown,2020-12-18 03:12:55.196631
unknown,unknown,2020-12-18 03:12:56.955989
john851411,unknown,2020-12-18 03:12:58.715410
john851411,unknown,2020-12-18 03:13:00.433609
unknown,unknown,2020-12-18 03:13:02.119307
john851411,unknown,2020-12-18 03:13:03.775344
unknown,unknown,2020-12-18 03:13:05.525284
john851411,unknown,2020-12-18 03:13:07.290445
unknown,unknown,2020-12-18 03:13:09.011101
unknown,unknown,2020-12-18 03:13:10.704069
john851411,unknown,2020-12-18 03:13:12.399085
unknown,unknown,2020-12-18 03:13:14.107576
john851411,unknown,2020-12-18 03:13:15.799153
unknown,unknown,2020-12-18 03:13:18.013792
unknown,unknown,2020-12-18 03:16:29.413359
john851411,unknown,2020-12-18 03:16:31.289844
john851411,unknown,2020-12-18 03:16:33.184522
unknown,unknown,2020-12-18 03:16:35.144041
unknown,unknown,2020-12-18 03:16:37.999148
unknown,unknown,2020-12-18 03:16:40.652770
unknown,unknown,2020-12-18 03:16:43.055178
unknown,unknown,2020-12-18 03:16:44.922949
unknown,unknown,2020-12-18 03:16:46.808991
unknown,unknown,2020-12-18 03:16:48.843967
unknown,unknown,2020-12-18 03:16:50.734989
john851411,unknown,2020-12-18 03:16:52.605538
john851411,unknown,2020-12-18 03:16:54.498255
unknown,unknown,2020-12-18 03:19:06.636555
john851411,unknown,2020-12-18 03:19:08.542066
unknown,unknown,2020-12-18 03:19:10.904875
john851411,happy,2020-12-18 03:19:13.106746
john851411,happy,2020-12-18 03:19:15.270010
unknown,unknown,2020-12-18 03:19:17.196028
unknown,unknown,2020-12-18 03:19:19.061411
unknown,unknown,2020-12-18 03:19:20.931911
unknown,unknown,2020-12-18 03:19:22.816881
unknown,unknown,2020-12-18 03:19:24.712020
unknown,unknown,2020-12-18 03:19:26.566211
unknown,unknown,2020-12-18 03:19:28.511363
unknown,unknown,2020-12-18 03:19:30.836881
john851411,unknown,2020-12-18 03:19:33.042280
john851411,unknown,2020-12-18 03:19:35.246796
unknown,unknown,2020-12-18 03:19:37.470909
unknown,unknown,2020-12-18 03:19:39.539173
john851411,unknown,2020-12-18 03:19:41.406939
unknown,unknown,2020-12-18 03:19:43.289492
john851411,unknown,2020-12-18 03:19:45.377919
john851411,unknown,2020-12-18 03:19:47.838078
john851411,unknown,2020-12-18 03:19:49.964821
john851411,unknown,2020-12-18 03:19:52.076280
john851411,unknown,2020-12-18 03:19:54.253936
unknown,unknown,2020-12-18 03:19:56.198779
unknown,unknown,2020-12-18 03:19:58.384302
john851411,happy,2020-12-18 03:20:59.620428
john851411,unknown,2020-12-18 03:21:01.855474
john851411,unknown,2020-12-18 03:21:03.741429
john851411,unknown,2020-12-18 03:21:05.644622
john851411,unknown,2020-12-18 03:21:07.543364
john851411,unknown,2020-12-18 03:21:09.428831
john851411,unknown,2020-12-18 03:21:11.356186
john851411,unknown,2020-12-18 03:21:13.263960
unknown,unknown,2020-12-18 03:21:46.442084
john851411,happy,2020-12-18 03:21:48.456538
john851411,unknown,2020-12-18 03:21:50.409222
john851411,happy,2020-12-18 03:21:52.481570
john851411,happy,2020-12-18 03:21:54.515692
unknown,happy,2020-12-18 03:21:56.715987
unknown,unknown,2020-12-18 03:21:58.603278
unknown,unknown,2020-12-18 03:22:00.853435
unknown,unknown,2020-12-18 03:22:03.152408
john851411,happy,2020-12-18 03:22:05.182511
john851411,happy,2020-12-18 03:22:07.389245
unknown,neutral,2020-12-18 03:22:09.561031
unknown,unknown,2020-12-18 03:22:11.461143
unknown,happy,2020-12-18 03:22:13.558797
john851411,happy,2020-12-18 03:22:15.780962
john851411,happy,2020-12-18 03:22:17.956771
unknown,unknown,2020-12-18 03:22:19.926323
unknown,unknown,2020-12-18 03:22:21.862726
unknown,unknown,2020-12-18 03:22:23.781202
john851411,happy,2020-12-18 03:22:25.775359
unknown,happy,2020-12-18 03:22:27.875486
john851411,happy,2020-12-18 03:22:29.950145
unknown,unknown,2020-12-18 03:22:32.278770
john851411,unknown,2020-12-18 03:22:34.326450
unknown,happy,2020-12-18 03:22:36.324940
unknown,happy,2020-12-18 03:22:38.310801
john851411,unknown,2020-12-18 03:22:40.346062
unknown,happy,2020-12-18 03:22:42.377830
unknown,unknown,2020-12-18 03:22:44.443348
john851411,happy,2020-12-18 03:22:46.373192
D0772389,unknown,2020-12-18 10:54:13.116138
